Fecha de venta,Producto,Cantidad vendida,Precio,Categoría,Tallas
2023-01-01,Zapato deportivo,6,871,Mujeres,10
2023-01-02,Zapato deportivo,3,721,Niños,5
2023-01-03,Sandalias,10,534,Mujeres,5
2023-01-04,Zapato casual,17,992,Niños,10
2023-01-05,Zapato casual,20,917,Niños,9
2023-01-06,Zapato casual,11,1034,Niños,6
2023-01-07,Zapato deportivo,3,839,Mujeres,8
2023-01-08,Mocasines,8,1229,Hombres,8
2023-01-09,Zapato deportivo,10,829,Mujeres,8
2023-01-10,Mocasines,8,1241,Niños,7
2023-01-11,Botas,7,1405,Mujeres,6
2023-01-12,Zapato deportivo,5,799,Mujeres,7
2023-01-13,Zapato deportivo,1,820,Mujeres,7
2023-01-14,Zapato deportivo,2,711,Niños,10
2023-01-15,Zapato casual,8,1062,Niños,7
2023-01-16,Zapato casual,16,999,Mujeres,11
2023-01-17,Mocasines,20,1195,Mujeres,9
2023-01-18,Mocasines,3,1164,Mujeres,9
2023-01-19,Zapato deportivo,15,891,Hombres,5
2023-01-20,Mocasines,14,1104,Niños,5
2023-01-21,Zapato casual,19,991,Hombres,6
2023-01-22,Mocasines,7,1117,Niños,6
2023-01-23,Botas,13,1488,Mujeres,11
2023-01-24,Zapato casual,16,961,Hombres,9
2023-01-25,Botas,13,1587,Mujeres,5
2023-01-26,Mocasines,8,1268,Hombres,10
2023-01-27,Sandalias,5,560,Mujeres,5
2023-01-28,Zapato deportivo,1,726,Niños,7
2023-01-29,Zapato casual,4,1097,Mujeres,8
2023-01-30,Botas,14,1548,Niños,10
2023-01-31,Sandalias,8,588,Mujeres,8
2023-02-01,Sandalias,6,593,Mujeres,8
2023-02-02,Zapato casual,17,985,Niños,9
2023-02-03,Zapato casual,15,934,Niños,8
2023-02-04,Sandalias,2,411,Hombres,8
2023-02-05,Zapato deportivo,18,790,Mujeres,7
2023-02-06,Zapato deportivo,8,839,Hombres,6
2023-02-07,Botas,4,1486,Hombres,11
2023-02-08,Zapato deportivo,15,864,Niños,9
2023-02-09,Sandalias,5,444,Niños,5
2023-02-10,Sandalias,15,599,Mujeres,7
2023-02-11,Mocasines,17,1275,Hombres,8
2023-02-12,Sandalias,18,518,Mujeres,5
2023-02-13,Zapato deportivo,20,878,Hombres,7
2023-02-14,Botas,11,1522,Niños,10
2023-02-15,Mocasines,15,1261,Mujeres,10
2023-02-16,Zapato deportivo,20,746,Hombres,9
2023-02-17,Botas,17,1434,Niños,8
2023-02-18,Zapato deportivo,14,716,Hombres,9
2023-02-19,Mocasines,18,1283,Mujeres,10
2023-02-20,Sandalias,15,598,Niños,7
2023-02-21,Mocasines,6,1217,Hombres,5
2023-02-22,Sandalias,16,409,Hombres,6
2023-02-23,Mocasines,15,1175,Mujeres,8
2023-02-24,Zapato casual,9,951,Mujeres,9
2023-02-25,Zapato deportivo,8,711,Mujeres,5
2023-02-26,Zapato deportivo,9,751,Niños,5
2023-02-27,Zapato casual,17,910,Niños,6
2023-02-28,Sandalias,16,480,Mujeres,7
